#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	999.013	0.143	0
1	3	996.057	0.572	0
1	4	991.144	1.28	0
1	5	984.292	2.26	0
1	6	975.528	3.501	0
1	7	964.888	4.99	0
1	8	952.414	6.71	0
1	9	938.153	8.643	0
1	10	922.164	10.77	0
1	11	904.508	13.071	0
1	12	885.257	15.523	0
1	13	864.484	18.106	0
1	14	842.274	20.795	0
1	15	818.712	23.569	0
1	16	793.893	26.405	0
1	17	767.913	29.279	0
1	18	740.877	32.168	0
1	19	712.89	35.048	0
1	20	684.062	37.896	0
1	21	654.508	40.686	0
1	22	624.345	43.394	0
1	23	593.691	45.992	0
1	24	562.667	48.455	0
1	25	531.395	50.754	0
1	26	500	52.862	0
1	27	468.605	54.749	0
1	28	437.333	56.39	0
1	29	406.309	57.755	0
1	30	375.655	58.819	0
1	31	345.492	59.557	0
1	32	315.938	59.947	0
1	33	287.11	59.971	0
1	34	259.123	59.614	0
1	35	232.087	58.863	0
1	36	206.107	57.712	0
1	37	181.288	56.159	0
1	38	157.726	54.206	0
1	39	135.516	51.862	0
1	40	114.743	49.138	0
1	41	95.492	46.049	0
1	42	77.836	42.615	0
1	43	61.847	38.859	0
1	44	47.586	34.803	0
1	45	35.112	30.473	0
1	46	24.472	25.893	0
1	47	15.708	21.088	0
1	48	8.856	16.078	0
1	49	3.943	10.884	0
1	50	0.987	5.521	0
1	51	0	0	0
1	52	0.987	-5.521	0
1	53	3.943	-10.884	0
1	54	8.856	-16.078	0
1	55	15.708	-21.088	0
1	56	24.472	-25.893	0
1	57	35.112	-30.473	0
1	58	47.586	-34.803	0
1	59	61.847	-38.859	0
1	60	77.836	-42.615	0
1	61	95.492	-46.049	0
1	62	114.743	-49.138	0
1	63	135.516	-51.862	0
1	64	157.726	-54.206	0
1	65	181.288	-56.159	0
1	66	206.107	-57.712	0
1	67	232.087	-58.863	0
1	68	259.123	-59.614	0
1	69	287.11	-59.971	0
1	70	315.938	-59.947	0
1	71	345.492	-59.557	0
1	72	375.655	-58.819	0
1	73	406.309	-57.755	0
1	74	437.333	-56.39	0
1	75	468.605	-54.749	0
1	76	500	-52.862	0
1	77	531.395	-50.754	0
1	78	562.667	-48.455	0
1	79	593.691	-45.992	0
1	80	624.345	-43.394	0
1	81	654.508	-40.686	0
1	82	684.062	-37.896	0
1	83	712.89	-35.048	0
1	84	740.877	-32.168	0
1	85	767.913	-29.279	0
1	86	793.893	-26.405	0
1	87	818.712	-23.569	0
1	88	842.274	-20.795	0
1	89	864.484	-18.106	0
1	90	885.257	-15.523	0
1	91	904.508	-13.071	0
1	92	922.164	-10.77	0
1	93	938.153	-8.643	0
1	94	952.414	-6.71	0
1	95	964.888	-4.99	0
1	96	975.528	-3.501	0
1	97	984.292	-2.26	0
1	98	991.144	-1.28	0
1	99	996.057	-0.572	0
1	100	999.013	-0.143	0
1	0	1000	0	0
